---------------,---------------
Ques. number,Context
0-a,Dave is big.
,Gary is kind.
Qid,Gary is young.
AttNoneg-D5-743-1-a,Gary is green.
,Anne is young.
Claim,Anne is green.
Gary is green.,Anne is smart.
,Gary is round.
Answer?,Dave is young.
<ANSWER HERE T/F>,Harry is smart.
,All white things are big.
,All young things are smart.
,"All kind, young things are white."
,"All smart, green things are round."
,"All smart, green things are white."
,If something is smart then it is kind.
,If Dave is white and Dave is young then Dave is green.
,
,
Ques. number,Context
0-b,Dave is big.
,Anne is green.
Qid,Gary is young.
AttNoneg-D5-743-1-b,Gary is round.
,All white things are big.
Claim,All young things are smart.
Gary is not green.,"All kind, young things are white."
,"All smart, green things are white."
Answer?,"All smart, green things are round."
<ANSWER HERE T/F>,If something is smart then it is kind.
,If Gary is green and Anne is young then Gary is kind.
,If Anne is smart and Gary is round then Gary is green.
,If Dave is white and Dave is young then Dave is green.
,If Harry is smart and Anne is green then Anne is young.
,
,
Which was more challenging?,
0-a or 0-b,
<ANSWER HERE>,
---------------,---------------
,
,
,
,
,
,
,
,
,
,
---------------,---------------
Ques. number,Context
1-a,The lion is round.
,The bald eagle is red.
Qid,The bald eagle is blue.
RelNeg-D5-359-18-a,The rabbit sees the lion.
,The squirrel needs the lion.
Claim,The rabbit eats the squirrel.
The lion needs the squirrel.,The lion needs the bald eagle.
,The bald eagle sees the rabbit.
Answer?,The bald eagle sees the squirrel.
<ANSWER HERE T/F>,The squirrel eats the bald eagle.
,If something eats the squirrel then it is cold.
,If something needs the rabbit then it eats the squirrel.
,If something is round and blue then it eats the squirrel.
,If something is blue and it eats the lion then it is round.
,If the lion needs the rabbit then the rabbit sees the bald eagle.
,If something does not see the bald eagle and it is not round then it needs the squirrel.
,If something is cold and it does not need the bald eagle then the bald eagle eats the lion.
,If the bald eagle needs the rabbit and the bald eagle eats the squirrel then the bald eagle sees the squirrel.
,
,
Ques. number,Context
1-b,The bald eagle is blue.
,The rabbit sees the lion.
Qid,The rabbit eats the squirrel.
RelNeg-D5-359-18-b,The squirrel eats the bald eagle.
,If something eats the squirrel then it is cold.
Claim,If something needs the rabbit then it eats the squirrel.
The lion does not need the squirrel.,If something is round and blue then it eats the squirrel.
,If something is blue and it eats the lion then it is round.
Answer?,If the lion needs the rabbit then the rabbit sees the bald eagle.
<ANSWER HERE T/F>,If the rabbit sees the lion and the bald eagle sees the rabbit then the lion is round.
,If something does not see the bald eagle and it is not round then it needs the squirrel.
